rank,category,racename,race_id,rider_name,rider_id,points,jpp,date
1,2.1s,"Tour of Hellas, Stage 4 : Costa Navarino - Ancient Olympia",41341,ANIOLKOWSKI Stanislaw,24940,0.0,0,2023-05-06
1,2.1s,"Tour of Hellas, Stage 3 : Costa Navarino - Kyparissia",41340,LEITAO Iuri Gabriel Dantas,31829,0.0,0,2023-05-05
1,2.1s,"Tour of Hellas, Stage 2 : Mycenae - Kalamata",41339,DUPONT Timothy,7948,0.0,0,2023-05-04
1,2.1s,"Tour of Hellas, Stage 1 : Heraklion - Heraklion",41338,ANIOLKOWSKI Stanislaw,24940,0.0,0,2023-05-03
1,2.1s,"Tour of Hellas, Prologue : Heraklion I.T.T.",41337,GATE Aaron,13153,0.0,0,2023-05-02
1,1.WT3,Eschborn - Frankfurt,41307,ANDERSEN Søren Kragh,20793,0.0,0,2023-05-01
2,1.WT3,Eschborn - Frankfurt,41307,KONRAD Patrick,16058,0.0,0,2023-05-01
3,1.WT3,Eschborn - Frankfurt,41307,FEDELI Alessandro,24807,0.0,0,2023-05-01
4,1.WT3,Eschborn - Frankfurt,41307,HIRSCHI Marc,26509,0.0,0,2023-05-01
5,1.WT3,Eschborn - Frankfurt,41307,ROTA Lorenzo,21958,0.0,0,2023-05-01
6,1.WT3,Eschborn - Frankfurt,41307,STEINHAUSER Georg,30721,0.0,0,2023-05-01
7,1.WT3,Eschborn - Frankfurt,41307,ZIMMERMANN Georg,25165,0.0,0,2023-05-01
8,1.WT3,Eschborn - Frankfurt,41307,WILLIAMS Stephen,24346,0.0,0,2023-05-01
9,1.WT3,Eschborn - Frankfurt,41307,HERMANS Ben,4819,0.0,0,2023-05-01
10,1.WT3,Eschborn - Frankfurt,41307,MARCELLUSI Martin,29845,0.0,0,2023-05-01
1,2.WT1,"Tour de Romandie, General classification",41261,YATES Adam,18975,0.0,0,2023-04-30
2,2.WT1,"Tour de Romandie, General classification",41261,JORGENSON Matteo,28057,0.0,0,2023-04-30
3,2.WT1,"Tour de Romandie, General classification",41261,CARUSO Damiano,6177,0.0,0,2023-04-30
4,2.WT1,"Tour de Romandie, General classification",41261,POOLE Max,32809,0.0,0,2023-04-30
5,2.WT1,"Tour de Romandie, General classification",41261,PINOT Thibaut,13080,0.0,0,2023-04-30
6,2.WT1,"Tour de Romandie, General classification",41261,UIJTDEBROEKS Cian,31803,0.0,0,2023-04-30
7,2.WT1,"Tour de Romandie, General classification",41261,BARDET Romain,13566,0.0,0,2023-04-30
8,2.WT1,"Tour de Romandie, General classification",41261,BERNAL GOMEZ Egan Arley,24926,0.0,0,2023-04-30
9,2.WT1,"Tour de Romandie, General classification",41261,DUNBAR Eddie,23765,0.0,0,2023-04-30
10,2.WT1,"Tour de Romandie, General classification",41261,MAJKA Rafal,14310,0.0,0,2023-04-30
1,2.WT1s,"Tour de Romandie, Stage 5 : Vufflens-la-Ville - Genève",41260,GAVIRIA RENDON Fernando,20777,0.0,0,2023-04-30
1,2.WT1r,"Tour de Romandie, Points classification",41262,HAYTER Ethan,27025,0.0,0,2023-04-30
1,2.WT1r,"Tour de Romandie, Mountains classification",41263,BERNARD Julien,23357,0.0,0,2023-04-30
1,2.1,"Vuelta a Asturias, General classification",41293,FORTUNATO Lorenzo,25552,0.0,0,2023-04-30
2,2.1,"Vuelta a Asturias, General classification",41293,RUBIO REYES Einer Augusto,27024,0.0,0,2023-04-30
3,2.1,"Vuelta a Asturias, General classification",41293,SOSA CUERVO Ivan Ramiro,26378,0.0,0,2023-04-30
1,2.1s,"Vuelta a Asturias, Stage 3 : Cangas del Narcea - Oviedo",41292,SANCHEZ MAYO Pelayo,31655,0.0,0,2023-04-30
1,2.WT1s,"Tour de Romandie, Stage 4 : Sion - Thyon 2000",41259,YATES Adam,18975,0.0,0,2023-04-29
1,2.1s,"Vuelta a Asturias, Stage 2 : Candas - Cangas del Narcea",41291,FORTUNATO Lorenzo,25552,0.0,0,2023-04-29
1,2.WT1s,"Tour de Romandie, Stage 3 : Châtel-Saint-Denis - Châtel-Saint-Denis I.T.T. (prov.)",41258,AYUSO PESQUERA Juan,31654,0.0,0,2023-04-28
1,2.1s,"Vuelta a Asturias, Stage 1 : Oviedo - Pola de Lena (prov.)",41290,HOWSON Damien,18239,0.0,0,2023-04-28
1,2.WT1s,"Tour de Romandie, Stage 2 : Morteau - La Chaux-de-Fonds (prov.)",41257,HAYTER Ethan,27025,0.0,0,2023-04-27
1,2.WT1s,"Tour de Romandie, Stage 1 : Crissier - Vallée de Joux (prov.)",41256,VERNON Ethan,30035,0.0,0,2023-04-26
1,2.WT1s,"Tour de Romandie, Prologue : Le Bouveret I.T.T. (prov.)",41255,CERNY Josef,19783,0.0,0,2023-04-25
1,1.WT1,Liège - Bastogne - Liège,41183,EVENEPOEL Remco,28377,0.0,0,2023-04-23
2,1.WT1,Liège - Bastogne - Liège,41183,PIDCOCK Thomas,27708,0.0,0,2023-04-23
3,1.WT1,Liège - Bastogne - Liège,41183,BUITRAGO SANCHEZ Santiago,29699,0.0,0,2023-04-23
4,1.WT1,Liège - Bastogne - Liège,41183,HEALY Ben,28846,0.0,0,2023-04-23
5,1.WT1,Liège - Bastogne - Liège,41183,MADOUAS Valentin,24758,0.0,0,2023-04-23
6,1.WT1,Liège - Bastogne - Liège,41183,MARTIN Guillaume,19994,0.0,0,2023-04-23
7,1.WT1,Liège - Bastogne - Liège,41183,BENOOT Tiesj,21244,0.0,0,2023-04-23
8,1.WT1,Liège - Bastogne - Liège,41183,KONRAD Patrick,16058,0.0,0,2023-04-23
9,1.WT1,Liège - Bastogne - Liège,41183,SKJELMOSE JENSEN Mattias,30166,0.0,0,2023-04-23
10,1.WT1,Liège - Bastogne - Liège,41183,HIRSCHI Marc,26509,0.0,0,2023-04-23
1,CC2,Pan-American Championships (Panama) R.R.,41301,COTE Pier-André,26176,0.0,0,2023-04-23
2,CC2,Pan-American Championships (Panama) R.R.,41301,TIVANI PEREZ German Nicolas,22472,0.0,0,2023-04-23
3,CC2,Pan-American Championships (Panama) R.R.,41301,CHRETIEN Charles-Etienne,27729,0.0,0,2023-04-23
4,CC2,Pan-American Championships (Panama) R.R.,41301,FAGUNDEZ LIMA Eric Antonio,28445,0.0,0,2023-04-23
